Tamano Poblacion,# generaciones,# runs,Prob cruze,Prob mutación,tiempo/run,criterio exito,AES,SR,MBF,Mejor
20,2,1,0.64,0.1,0.024001359939575195,0.1,0.0,0.0,2.4724308580659873,
20,2,1,0.64,0.1,0.013999223709106445,0.1,0.0,0.0,2.469875088351583,
20,2,1,0.64,0.1,0.015000104904174805,0.1,0.0,0.0,2.456070092415027,
